SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched School,Matched Score,NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified,Type,Status
"4- P.S. 041 FRANCIS WHITE, FIRST STEP NYC @ PS 41K",411 THATFORD AVENUE BROOKLYN,11212.0,40.66029826,-73.90735495,0,411 THATFORD AVENUE ,95,360012105724,NY-332300010000-332300010522,3600121,NY-332300010000,06,08,MOTT HALL IV,NEW YORK CITY GEOGRAPHIC DISTRICT #23,Kings County,411 THATFORD AVENUE ,BROOKLYN,NY,11212,,(929)305-4400,11,City: Large,No,128.0,14.11000,9.0700000,124.00000,2.00000,–,Regular,Open
"4- P.S. 041 FRANCIS WHITE, FIRST STEP NYC @ PS 41K",411 THATFORD AVENUE BROOKLYN,11212.0,40.66029826,-73.90735495,0,411 THATFORD AVENUE ,95,360012102182,NY-332300010000-332300010041,3600121,NY-332300010000,KG,05,PS 41 FRANCIS WHITE,NEW YORK CITY GEOGRAPHIC DISTRICT #23,Kings County,411 THATFORD AVENUE ,BROOKLYN,NY,11212,5898.0,(718)495-7732,11,City: Large,No,154.0,16.44000,9.3700000,148.00000,1.00000,–,Regular,Open
"7ERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",99 TERRACE VIEW AVENUE BRONX,10463.0,40.87709942,-73.91225527,2,99 TERRACE VIEW AVENUE ,95,360008705676,NY-321000010000-321000011213,3600087,NY-321000010000,09,12,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,99 TERRACE VIEW AVENUE ,BRONX,NY,10463,,(718)563-6678,11,City: Large,No,355.0,35.42000,10.0200000,325.00000,7.00000,–,Regular,Open
"7ERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",99 TERRACE VIEW AVENUE BRONX,10463.0,40.87709942,-73.91225527,2,99 TERRACE VIEW AVENUE ,95,360008705678,NY-321000010000-321000011284,3600087,NY-321000010000,09,12,BRONX SCHOOL OF LAW AND FINANCE,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,99 TERRACE VIEW AVENUE ,BRONX,NY,10463,,(718)561-0113,11,City: Large,No,348.0,25.94000,13.4200000,309.00000,1.00000,–,Regular,Open
"7ERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",99 TERRACE VIEW AVENUE BRONX,10463.0,40.87709942,-73.91225527,2,99 TERRACE VIEW AVENUE ,95,360008705496,NY-321000010000-321000011546,3600087,NY-321000010000,09,12,BRONX THEATRE HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,99 TERRACE VIEW AVENUE ,BRONX,NY,10463,,(718)329-2902,11,City: Large,No,276.0,26.15000,10.5500000,247.00000,2.00000,–,Regular,Open
"7ERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",99 TERRACE VIEW AVENUE BRONX,10463.0,40.87709942,-73.91225527,2,99 TERRACE VIEW AVENUE ,95,360008706010,NY-321000010000-321000011397,3600087,NY-321000010000,09,12,ENGLISH LANGUAGE LEARNERS-INTER SUPP,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,99 TERRACE VIEW AVENUE ,BRONX,NY,10463,,(718)220-1889,11,City: Large,No,216.0,26.02000,8.3000000,204.00000,0.00000,–,Regular,Open
"7ERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",99 TERRACE VIEW AVENUE BRONX,10463.0,40.87709942,-73.91225527,2,99 TERRACE VIEW AVENUE ,95,360008705188,NY-321000010000-321000011477,3600087,NY-321000010000,09,12,MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,99 TERRACE VIEW AVENUE ,BRONX,NY,10463,,(718)561-0973,11,City: Large,No,415.0,38.05000,10.9100000,374.00000,6.00000,–,Regular,Open
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL, ACADEMY OF HOSPITALI",911 FLATBUSH AVENUE BROOKLYN,11226.0,40.64978002,-73.95854985,1,911 FLATBUSH AVENUE ,95,360009505916,NY-331700010000-331700011382,3600095,NY-331700010000,06,12,ACAD FOR COLLEGE PREP AND CAREER EXP,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVENUE ,BROOKLYN,NY,11226,,(718)564-2566,11,City: Large,No,394.0,32.20000,12.2400000,339.00000,23.00000,–,Regular,Open
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL, ACADEMY OF HOSPITALI",911 FLATBUSH AVENUE BROOKLYN,11226.0,40.64978002,-73.95854985,1,911 FLATBUSH AVENUE ,95,360009505885,NY-331700010000-331700011408,3600095,NY-331700010000,09,12,ACADEMY OF HOSPITALITY AND TOURISM,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVENUE ,BROOKLYN,NY,11226,,(718)564-2580,11,City: Large,No,348.0,28.55000,12.1900000,283.00000,9.00000,–,Regular,Open
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL, ACADEMY OF HOSPITALI",911 FLATBUSH AVENUE BROOKLYN,11226.0,40.64978002,-73.95854985,1,911 FLATBUSH AVENUE ,95,360009505715,NY-331700010000-331700011539,3600095,NY-331700010000,09,12,HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVENUE ,BROOKLYN,NY,11226,,(718)564-2551,11,City: Large,No,234.0,17.33000,13.5000000,180.00000,3.00000,–,Regular,Open
