Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,Jewish,Catholic,Religious
UNITED TALMUDICAL ACADEMY,UNITED TALMUDICAL-75,0.00%,21,UNITED TALMUDIAL ACADEMY OF BORO PARK,BROOKLYN,230.0,8.91,0.0,996,2,0.0,0.0,0.0,0.0,100.0,13.38,18,1,0,1
AL IMAN SCHOOL,AL-IMAN SCHOOL,3.90%,7,AL-IMAN SCHOOL,JAMAICA,180.0,6.5,1.0,68,2,0.0,77.77,0.0,2.77,11.11,5.9,17,0,0,1
MARTIN LUTHER SCHOOL,MARTIN LUTHER SCHOOL,47.76%,7,MARTIN LUTHER SCHOOL,MASPETH,180.0,6.5,0.0,199,2,0.0,8.54,33.66,13.56,32.16,11.17,20,0,0,1
NESIVOS BAIS YAAKOV,NESIVOS BAIS YAAKOV,18.06%,6,NESIVOS BAIS YAAKOV,BROOKLYN,180.0,10.98,1.0,91,2,0.0,0.0,0.0,0.0,100.0,9.1,18,1,0,1
BNOS LEAH HIGH SCHOOL,BNOS LEAH PROSPECT-MONSEY,41.35%,6,PROSPECT PARK BNOS LEAH HIGH SCHOOL,BROOKLYN,180.0,8.58,1.0,173,2,0.0,0.0,0.0,0.0,100.0,3.76,18,1,0,1
TALMUD TORAH OHR MOSHE,TALMUD TORAH OHR MOSHE,0.00%,6,TALMUD TORAH OF BOBOV 45,BROOKLYN,260.0,6.0,0.0,302,2,0.0,0.0,0.0,0.0,100.0,17.76,18,1,0,1
YESHIVA DARCHEI TORAH,YESHIVA DARCHEI TORAH,26.80%,6,YESHIVA DARCHEI TORAH,FAR ROCKAWAY,200.0,9.0,1.0,2522,2,0.0,0.0,0.0,0.21,99.78,25.2,18,1,0,1
YESHIVA TIFERETH MOSHE DOV REVEL CENTER,YESHIVA TIFERETH MOSHE,29.46%,6,YESHIVA TIFERETH MOSHE,KEW GARDENS,183.0,10.0,0.0,517,2,0.0,0.0,29.01,0.0,70.98,14.36,18,1,0,1
AL-MADINAH SCHOOL,AL-MADINAH SCHOOL,47.36%,5,AL-MADINAH SCHOOL,BROOKLYN,180.0,8.0,1.0,812,2,0.0,45.91,1.07,5.89,45.78,15.24,17,0,0,1
CHRIST THE KING HIGH SCHOOL,CHRIST THE KING,55.80%,5,CHRIST THE KING HIGH SCHOOL,MIDDLE VILLAGE,181.0,6.5,1.0,665,1,0.3,2.25,30.97,21.95,42.1,17.68,1,0,1,1
