Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
UNITED TALMUDICAL ACADEMY,UNITED TALMUDICAL-75,0.00%,21,UNITED TALMUDIAL ACADEMY OF BORO PARK,BROOKLYN,230,8.91,No,996,2,0,0,0,0,100,13.38,18
AL IMAN SCHOOL,AL-IMAN SCHOOL,3.90%,7,AL-IMAN SCHOOL,JAMAICA,180,6.5,Yes,68,2,0,77.77,0,2.77,11.11,5.9,17
MARTIN LUTHER SCHOOL,MARTIN LUTHER SCHOOL,47.76%,7,MARTIN LUTHER SCHOOL,MASPETH,180,6.5,No,199,2,0,8.54,33.66,13.56,32.16,11.17,20
NESIVOS BAIS YAAKOV,NESIVOS BAIS YAAKOV,18.06%,6,NESIVOS BAIS YAAKOV,BROOKLYN,180,10.98,Yes,91,2,0,0,0,0,100,9.1,18
BNOS LEAH HIGH SCHOOL,BNOS LEAH PROSPECT-MONSEY,41.35%,6,PROSPECT PARK BNOS LEAH HIGH SCHOOL,BROOKLYN,180,8.58,Yes,173,2,0,0,0,0,100,3.76,18
TALMUD TORAH OHR MOSHE,TALMUD TORAH OHR MOSHE,0.00%,6,TALMUD TORAH OF BOBOV 45,BROOKLYN,260,6,No,302,2,0,0,0,0,100,17.76,18
YESHIVA DARCHEI TORAH,YESHIVA DARCHEI TORAH,26.80%,6,YESHIVA DARCHEI TORAH,FAR ROCKAWAY,200,9,Yes,2522,2,0,0,0,0.21,99.78,25.2,18
YESHIVA TIFERETH MOSHE DOV REVEL CENTER,YESHIVA TIFERETH MOSHE,29.46%,6,YESHIVA TIFERETH MOSHE,KEW GARDENS,183,10,No,517,2,0,0,29.01,0,70.98,14.36,18
AL-MADINAH SCHOOL,AL-MADINAH SCHOOL,47.36%,5,AL-MADINAH SCHOOL,BROOKLYN,180,8,Yes,812,2,0,45.91,1.07,5.89,45.78,15.24,17
CHRIST THE KING HIGH SCHOOL,CHRIST THE KING,55.80%,5,CHRIST THE KING HIGH SCHOOL,MIDDLE VILLAGE,181,6.5,Yes,665,1,0.3,2.25,30.97,21.95,42.1,17.68,1
CONGREGATION BNOS CHAYA,CONG BNOS CHAYA-BROOKLYN,21.51%,5,CONGREGATION BNOS CHAYA,BROOKLYN,180,7,No,323,2,0,0,0,0,100,20.71,18
MASORES BAIS YAAKOV,MASORES BAIS YAAKOV ES,61.35%,5,MASORES BAIS YAAKOV,BROOKLYN,165,8.25,Yes,787,2,0,0,0,0,100,13.38,18
OUR LADY OF GRACE CATHOLIC ACADEMY,OUR LADY OF GRACE,58.12%,5,OUR LADY OF GRACE CATHOLIC ACADEMY,BROOKLYN,181,7,Yes,199,1,0,1.05,23.28,3.7,71.95,12.6,1
ST JOSEPH HILL ACADEMY,ST JOSEPH HILL ACAD ES,80.10%,5,ST JOSEPH HILL ACADEMY,STATEN ISLAND,180,6.83,Yes,388,1,0.25,5.92,12.11,0.51,77.57,14.47,1
TALMUD TORAH SIACH YITZCHOK,TALMUD TORAH SIACH YITZCHOK,42.38%,5,TALMUD TORAH OF BOBOV 45,BROOKLYN,260,6,No,302,2,0,0,0,0,100,17.76,18
WILLIAM SPYROPOULOS SCHOOL,WILLIAM SPYROPOULOS,78.83%,5,WILLIAM SPYROPOULOS GREEK-AMERICAN DAY SCHOOL,FLUSHING,181,6.33,No,425,3,0,0,0,0,100,12.76,30
YESHIVAT SHAARE TORAH,SHAARE TORAH ES-GIRLS,21.15%,5,YESHIVA SHAARE TORAH,BROOKLYN,135,9.5,No,199,2,0,0,0,0,100,10.58,18
AHI EZER YESHIVA,AHI EZER YESHIVA,19.20%,4,AHI EZER YESHIVA SCHOOL,BROOKLYN,160,7.5,Yes,176,2,0,0,0,0,100,8.68,18
BET YAAKOV ATERET TORAH,BET YAAKOV ATERET TORAH,22.51%,4,BET YAAKOV ATERET TORAH,BROOKLYN,180,6.5,Yes,844,2,0,0,0,0,100,5.96,18
HOLY ROSARY SCHOOL,CORPUS CHRISTI-HOLY ROSARY,75.95%,4,HOLY ROSARY SCHOOL,STATEN ISLAND,180,6.5,No,327,1,0,9.74,14.35,14.35,53.84,21.66,1
JEWISH INSTITUTE OF QUEENS,JEWISH INSTITUTE-QUEENS,31.36%,4,JEWISH INSTITUTE OF QUEENS-ELEMENTARY,ELMHURST,180,8,No,549,2,0,0,0,0,100,24.07,18
BAIS YAAKOV ACADEMY,BAIS YAAKOV ACADEMY,45.47%,4,MASORES BAIS YAAKOV,BROOKLYN,165,8.25,Yes,787,2,0,0,0,0,100,13.38,18
NEW COVENANT CHRISTIAN SCHOOL,NEW COVENANT CHRISTIAN,48.99%,4,NEW COVENANT CHRISTIAN SCHOOL,BRONX,180,6.33,,145,2,0,0.88,2.65,96.46,0,9.11,8
NOTRE DAME ACADEMY HIGH SCHOOL OF STATEN ISLAND,NOTRE DAME HIGH SCHOOL,41.83%,4,NOTRE DAME ACADEMY HIGH SCHOOL,STATEN ISLAND,180,6.75,,402,1,0.24,5.97,8.95,2.98,81.09,19.32,1
OUR LADY OF LOURDES SCHOOL,OUR LADY OF LOURDES,70.23%,4,OUR LADY OF LOURDES SCHOOL,NEW YORK,180,7,,172,1,,,,,,11.86,1
SACRED HEART OF JESUS SCHOOL,SACRED HEART OF JESUS,72.86%,4,SACRED HEART SCHOOL,BRONX,180,8.25,,435,1,0,0.49,81.32,17.44,0.73,18.5,1
YESHIVA TORAH VODAATH HIGH SCHOOL,YESHIVA TORAH VODAATH,35.36%,4,SHAARE TORAH GIRLS HIGH SCHOOL/YESHIVA SHAAREI TOR,BROOKLYN,170,8.66,,156,2,0,0,0,0,100,7.46,18
ST. CHARLES BORROMEO SCHOOL,ST CHARLES BORROMEO,31.44%,4,ST CHARLES BORROMEO SCHOOL,NEW YORK,178,8,,321,1,0.42,0,19.83,78.9,0.42,10.3,1
ST. CLARE SCHOOL,ST CLARE SCHOOL,68.34%,4,ST CLARE SCHOOL,STATEN ISLAND,174,6.8,,593,1,0,1.18,3.15,0.19,93.68,17.78,1
TALMUD TORAH IMREI CHAIM,CONG TALMUD TORAH IMREI,0.73%,4,TALMUD TORAH IMREI CHAIM,BROOKLYN,255,6.5,,752,2,0,0,0,0,100,11.56,18
YESHIVA OF CENTRAL QUEENS,YESHIVA-CENTRAL QUEENS,44.36%,4,YESHIVA OF CENTRAL QUEENS,FLUSHING,171,8.5,,933,2,0,0,0,0.11,99.88,6.57,18
YESHIVA TIFERES BUNIM,YESHIVA TIFERES BUNIM,3.13%,4,YESHIVA TIFERES BUNIM,BROOKLYN,180,6,,72,2,0,0,0,0,100,5.37,18
CONGREGATION MACHNA SHALVA - YESHIVA VYELIPOL,CONGREGATION MACHNA SHALVA,30.14%,4,YESHIVA VYELIPOL,BROOKLYN,180,9,Yes,92,2,0,0,0,0,100,6.17,18
YESHIVA YESODA HATORAH,YESHIVA YESODE HATORAH,0.00%,4,YESHIVA YESODE HATORAH,BROOKLYN,235,10,,183,2,0,0,0,0,100,12.96,18
ACADEMY OF ST. DOROTHY,ACADEMY OF ST DOROTHY,81.14%,3,ACADEMY OF ST DOROTHY,STATEN ISLAND,180,6.75,,191,1,1.12,6.21,3.38,3.95,85.31,18.63,1
BATTALION CHRISTIAN ACADEMY,BATTALION CHRISTIAN ACADEMY,72.76%,3,BATTALION CHRISTIAN ACADEMY,BROOKLYN,180,5.5,,57,2,0,0,0,100,0,9.5,8
GREAT OAKS ELEMENTARY SCHOOL,GREAT OAKS ES,36.90%,3,GREAT OAKS ELEMENTARY SCHOOL,BROOKLYN,180,5,,96,2,0,0,2.08,96.87,0,7.93,8
MIRRER YESHIVA HS,MIRRER YESHIVA ES,21.70%,3,MIRRER YESHIVA EDUCATIONAL INSTITUTE,BROOKLYN,250,10.5,,460,2,0,0,0,0,100,11.07,18
OUR LADY OF GRACE SCHOOL,OUR LADY OF GRACE,58.12%,3,OUR LADY OF GRACE SCHOOL,BRONX,175,7,,356,1,0,0,6.35,85.16,8.47,23.6,1
OUR LADY OF MOUNT CARMEL SCHOOL,OUR LADY OF MT CARMEL,55.79%,3,OUR LADY OF MT CARMEL SCHOOL,BRONX,180,7,,249,1,0.61,1.84,69.32,15.33,6.74,10.12,1
OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BROOKLYN,OUR LADY OF PERPETUAL HELP,47.30%,3,OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY,SOUTH OZONE PARK,180,7,,377,1,,,,,,15.45,1
PHYL'S ACADEMY PREP SCHOOL,PHYL'S ACADEMY PREP,0.00%,3,PHYL'S ACADEMY PREP,BROOKLYN,180,6.75,,228,3,0,0,5.79,63.04,5.79,17.46,30
RABBI ARTHUR SCHNEIER PARK EAST DAY SCHOOL,RABBI ARTHUR SCHNEIER PARK,80.23%,3,RABBI ARTHUR SCHNEIER PARK EAST DAY SCHOOL,NEW YORK,170,7.75,,191,2,0,0,0,0,98.4,6.44,18
RAZI SCHOOL,RAZI SCHOOL,43.30%,3,RAZI SCHOOL,WOODSIDE,180,7.16,,134,2,0,41.74,2.91,3.88,43.68,5.07,17
SACRED HEART SCHOOL (ENTER SCHOOL ON NELSON AVE),SACRED HEART SCHOOL,60.10%,3,SACRED HEART SCHOOL,BRONX,180,8.25,,435,1,0,0.49,81.32,17.44,0.73,18.5,1
ST. HELENA SCHOOL,ST HELENA SCHOOL,58.85%,3,ST HELENA SCHOOL,BRONX,180,6.5,,172,1,0,24.41,37.79,37.79,0,19.11,1
ST. JOHN CHRYSOSTOM SCHOOL,ST JOHN CHRYSOSTOM,69.32%,3,ST JOHN'S PREPARATORY SCHOOL,ASTORIA,180,6.5,,624,1,0.48,13.3,0.16,8.33,72.75,14.18,1
ST. MARGARET OF CORTONA SCHOOL,ST MARGARET OF CORTONA,51.51%,3,ST MARGARET OF CORTONA SCHOOL,BRONX,180,7.75,,266,1,0,3.5,21.5,14.5,43.5,22.22,1
ST. PHILIP NERI SCHOOL,ST PHILIP NERI,52.26%,3,ST PHILIP NERI SCHOOL,BRONX,180,6.83,,314,1,0.98,2.45,75,12.74,7.84,17.58,1
ST. THOMAS CHOIR SCHOOL,ST THOMAS THE APOSTLE SCHOOL,35.09%,3,ST THOMAS CHOIR SCHOOL,NEW YORK,180,7,,25,2,,,,,,2.27,14
TALMUD TORAH DCHASIDEI GUR,TALMUD TORAH D'CHASIDEI GUR,1.02%,3,TALMUD TORAH OF BOBOV 45,BROOKLYN,260,6,,302,2,0,0,0,0,100,17.76,18
TOMER DVORA SCHOOL,TOMER DVORA -SITE 2,20.99%,3,TOMER DEVORAH HIGH SCHOOL,BROOKLYN,170,7.66,,259,2,0,0,0,0,100,5.98,18
YESHIVA & MESIVTA TORAS EMES KAMENITZ,YESHIVA TORAS EMES KAMENITZ,18.87%,3,YESHIVA & MESIFTA CHASAN SOFER,BROOKLYN,180,9,,441,2,0,0,0,0,100,14,18
YESHIVAT BETH HILLEL OF KRASNA (enter on 44 St),YESHIVA BETH HILLEL-KRASNA,12.36%,3,YESHIVA BETH HILLEL OF WILLIAMSBURG,BROOKLYN,200,9,,205,2,0,0,0,0,100,13.08,18
ASSOCIATED BETH RIVKAH SCHOOLS,BETH RIVKAH SCHOOL,38.60%,2,BETH RIVKA HIGH SCHOOL,BROOKLYN,184,8.5,,611,2,,,0,,,17.76,18
BLESSED SACRAMENT LOWER SCHOOL,BLESSED SACRAMENT SCHOOL,18.39%,2,BLESSED SACRAMENT CATHOLIC ACADEMY,BROOKLYN,180,7,,204,1,,,,,,17.72,1
