School,Test,# tested,% proficient,SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched Score,Matched School,PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_STATE_CODE,PSS_ZIP5,PSS_PHONE,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_T,PSS_RACE_ AMERICAN_INDIAN,PSS_RACE_ASIAN/PACIFIC,PSS_RACE_HISPANIC,PSS_RACE_BLACK,PSS_RACE_WHITE,PSS_RACE_PACIFIC,PSS_RACE_MULTICULTURAL,PSS_FULLTIME_TEACH,PSS_COEDUCATION,PSS_LEVEL,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,PSS_COUNTY_NAME,Matched Address,Matched School Name
bnos bais yaakov-far rockaway,Grade 4 ELA,95,61.05%,BNOS BAIS YAAKOV OF FAR ROCKAWAY,613 BEACH    9 ST,11691.0,40.60138814,-73.7453002,1,88,,BB170241,BNOS BAIS YAAKOV-FAR ROCKAWAY,2,17,613 BEACH 9TH ST,FAR ROCKAWAY,36081,81,NY,36,11691,7183376000,180.0,8.5,Yes,,162.0,115.0,1391.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,120.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.24,18,QUEENS,,bnos bais yaakov-far rockaway
bnos bais yaakov-far rockaway,Grade 5 Math,79,45.57%,BNOS BAIS YAAKOV OF FAR ROCKAWAY,613 BEACH    9 ST,11691.0,40.60138814,-73.7453002,1,88,,BB170241,BNOS BAIS YAAKOV-FAR ROCKAWAY,2,17,613 BEACH 9TH ST,FAR ROCKAWAY,36081,81,NY,36,11691,7183376000,180.0,8.5,Yes,,162.0,115.0,1391.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,120.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.24,18,QUEENS,,bnos bais yaakov-far rockaway
bnos bais yaakov-far rockaway,Grade 7 ELA,96,71.88%,BNOS BAIS YAAKOV OF FAR ROCKAWAY,613 BEACH    9 ST,11691.0,40.60138814,-73.7453002,1,88,,BB170241,BNOS BAIS YAAKOV-FAR ROCKAWAY,2,17,613 BEACH 9TH ST,FAR ROCKAWAY,36081,81,NY,36,11691,7183376000,180.0,8.5,Yes,,162.0,115.0,1391.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,120.0,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.24,18,QUEENS,,bnos bais yaakov-far rockaway
gan yisroel,Grade 3 ELA,31,9.68%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 3 Math,31,9.68%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 4 ELA,6,0.00%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 4 ELA,38,2.63%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 4 Math,6,0.00%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 4 Math,37,5.41%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
gan yisroel,Grade 5 ELA,8,0.00%,GAN YISROEL,1581 52 ST,11219.0,40.62972527,-73.98786629,1,86,,BB121551,GAN YISROEL,2,13,13 CHURCH AVE,BROOKLYN,36047,47,NY,36,11218,7188539853,200.0,7.0,No,,26.0,25.0,251.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,20.0,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.25,18,KINGS,,gan yisroel
