SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched Score,Matched School,PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_STATE_CODE,PSS_ZIP5,PSS_PHONE,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_T,PSS_RACE_ AMERICAN_INDIAN,PSS_RACE_ASIAN/PACIFIC,PSS_RACE_HISPANIC,PSS_RACE_BLACK,PSS_RACE_WHITE,PSS_RACE_PACIFIC,PSS_RACE_MULTICULTURAL,PSS_FULLTIME_TEACH,PSS_COEDUCATION,PSS_LEVEL,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,PSS_COUNTY_NAME,Matched Address,Matched School Name
ACADEMY OF MOUNT SAINT URSULA,330 BEDFORD PARK BLVD FL 1ST,10458.0,40.86908807,-73.88483743,0,95,ACADEMY OF MOUNT ST URSULA,00920855,ACADEMY OF MOUNT ST URSULA,14,17,330 BEDFORD PARK BLVD,BRONX,36005,5,NY,36,10458,7183645353,181.0,7.0,Yes,,,,289.0,0.0,15.0,184.0,78.0,8.0,0.0,4.0,18.5,2,2,1,0.0,5.19,63.66,26.98,2.76,0.0,1.38,15.62,1,BRONX,,
ACADEMY OF ST. DOROTHY,1305 HYLAN BLVD,10305.0,40.59712181,-74.08523646,3,98,ACADEMY OF ST DOROTHY,00920174,ACADEMY OF ST DOROTHY,2,13,1305 HYLAN BLVD,STATEN ISLAND,36085,85,NY,36,10305,7183510939,180.0,6.75,No,,14.0,13.0,191.0,2.0,11.0,6.0,7.0,151.0,0.0,0.0,9.5,1,1,1,1.12,6.21,3.38,3.95,85.31,0.0,0.0,18.63,1,RICHMOND,,
AHI EZER YESHIVA,2433 OCEAN PARKWAY,11235.0,40.59024241,-73.9653163,4,95,AHI EZER YESHIVA SCHOOL,00936162,AHI EZER YESHIVA SCHOOL,2,13,2433 OCEAN PKWY,BROOKLYN,36047,47,NY,36,11235,7186486100,160.0,7.5,Yes,,51.0,14.0,176.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,14.4,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.68,18,KINGS,,
AL IMAN SCHOOL,8989 VAN WYCK EXPY,11435.0,40.7009083,-73.81522041,7,100,AL-IMAN SCHOOL,A9104867,AL-IMAN SCHOOL,2,12,8989 VAN WYCK EXPY,JAMAICA,36081,81,NY,36,11435,7182976522,180.0,6.5,Yes,,32.0,4.0,68.0,0.0,28.0,0.0,1.0,4.0,0.0,3.0,6.1,1,1,2,0.0,77.77,0.0,2.77,11.11,0.0,8.33,5.9,17,QUEENS,,
AL-IHSAN ACADEMY,130-08 ROCKAWAY BLVD,11420.0,40.67496152,-73.80830948,1,100,AL-IHSAN ACADEMY,A9300668,AL-IHSAN ACADEMY,2,17,130-08 ROCKAWAY BLVD,SOUTH OZONE PARK,36081,81,NY,36,11420,7183223154,182.0,7.25,Yes,,40.0,35.0,463.0,0.0,329.0,0.0,21.0,73.0,0.0,0.0,38.0,1,3,2,0.0,77.77,0.0,4.96,17.25,0.0,0.0,11.13,17,QUEENS,,
AL-MADINAH SCHOOL,383 3 AVE,11215.0,40.67333998,-73.98943371,5,100,AL-MADINAH SCHOOL,A0302183,AL-MADINAH SCHOOL,2,17,383 3RD AVE,BROOKLYN,36047,47,NY,36,11215,7182224986,180.0,8.0,Yes,,65.0,61.0,812.0,0.0,343.0,8.0,44.0,342.0,0.0,10.0,49.0,1,3,2,0.0,45.91,1.07,5.89,45.78,0.0,1.33,15.24,17,KINGS,,
AL-MAMOOR SCHOOL,78-31 PARSONS BLVD,11366.0,40.72150952,-73.80953516,1,100,AL-MAMOOR SCHOOL,A0701578,AL-MAMOOR SCHOOL,2,17,7831 PARSONS BLVD,FRESH MEADOWS,36081,81,NY,36,11366,7183807040,180.0,6.75,No,,12.0,19.0,255.0,1.0,220.0,2.0,2.0,14.0,0.0,4.0,23.0,1,3,2,0.41,90.53,0.82,0.82,5.76,0.0,1.64,10.56,17,QUEENS,,
AL-NOOR SCHOOL,675 4 AVE,11232.0,40.66277024,-73.99559898,1,100,AL-NOOR SCHOOL,BB161940,AL-NOOR SCHOOL,2,17,675 4TH AVE,BROOKLYN,36047,47,NY,36,11232,7187687181,180.0,7.66,Yes,,36.0,24.0,568.0,0.0,237.0,7.0,33.0,245.0,0.0,10.0,57.1,1,3,2,0.0,44.54,1.31,6.2,46.05,0.0,1.87,9.31,17,KINGS,,
All Hallows high School,111 E  164 ST,10452.0,40.82991625,-73.92200922,2,100,ALL HALLOWS HIGH SCHOOL,00922251,ALL HALLOWS HIGH SCHOOL,14,17,111 E 164TH ST,BRONX,36005,5,NY,36,10452,7182934545,180.0,7.56,Yes,,,,415.0,1.0,12.0,298.0,83.0,7.0,3.0,11.0,44.0,3,2,1,0.24,2.89,71.8,20.0,1.68,0.72,2.65,9.43,1,BRONX,,
ARCHBISHOP MOLLY HIGH SCHOOL,8353 MANTON ST,11435.0,40.71108883,-73.82050168,2,98,ARCHBISHOP MOLLOY HIGH SCHOOL,00926223,ARCHBISHOP MOLLOY HIGH SCHOOL,14,17,8353 MANTON ST,BRIARWOOD,36081,81,NY,36,11435,7184412100,180.0,6.16,Yes,,,,1506.0,4.0,169.0,411.0,135.0,685.0,9.0,93.0,70.4,1,2,1,0.26,11.22,27.29,8.96,45.48,0.59,6.17,21.39,1,QUEENS,,
