School,Test,# tested,% proficient
a fantis parochial,Grade 3 ELA,11,100.00%
academy of st dorothy,Grade 3 ELA,21,71.43%
ahi ezer yeshiva,Grade 3 ELA,13,23.08%
al madrasa al islamiya,Grade 3 ELA,17,11.76%
al-ihsan academy,Grade 3 ELA,32,56.25%
al-iman school,Grade 3 ELA,4,0.00%
al-madinah school,Grade 3 ELA,48,41.67%
al-mamoor school,Grade 3 ELA,27,70.37%
al-noor school,Grade 3 ELA,31,64.52%
al-rasheed academy,Grade 3 ELA,24,25.00%
all saints catholic academy,Grade 3 ELA,20,35.00%
all saints school,Grade 3 ELA,12,41.67%
all saints-tipperary hill,Grade 3 ELA,8,12.50%
an nur islamic school,Grade 3 ELA,16,18.75%
andalusia school,Grade 3 ELA,23,52.17%
annunciation school,Grade 3 ELA,37,62.16%
ascension school,Grade 3 ELA,13,76.92%
ateres bais yaakov-rockland,Grade 3 ELA,9,44.44%
ateret torah center,Grade 3 ELA,86,31.40%
augustinian-elementary,Grade 3 ELA,8,87.50%
bais brocho-karlin stolin,Grade 3 ELA,30,13.33%
bais esther school,Grade 4 ELA,81,7.41%
bais frima chinuch center,Grade 6 ELA,5,0.00%
bais rochel-boro park,Grade 3 ELA,123,10.57%
bais shifra,Grade 3 ELA,49,12.24%
bais tziporah,Grade 3 ELA,44,2.27%
bais yaakov academy,Grade 3 ELA,57,24.56%
bais yaakov ateres miriam,Grade 4 ELA,32,43.75%
bais yaakov chofetz chaim,Grade 4 ELA,40,35.00%
bais yaakov d'chassidei gur,Grade 3 ELA,37,18.92%
bais yaakov f schonberger,Grade 3 ELA,54,57.41%
bais yaakov-8th ave,Grade 3 ELA,32,46.88%
bais yitzchak school,Grade 3 ELA,15,0.00%
bas mikroh,Grade 3 ELA,77,6.49%
battalion christian academy,Grade 3 ELA,11,54.55%
bay ridge christian,Grade 3 ELA,4,0.00%
bet yaakov ateret torah,Grade 3 ELA,80,17.50%
bet yaakov ohr sarah,Grade 3 ELA,30,20.00%
beth jacob es,Grade 3 ELA,16,50.00%
beth jacob school -girls,Grade 3 Math,36,30.56%
beth jacob-boro park,Grade 3 ELA,125,34.40%
beth rachel school for girls,Grade 3 ELA,125,34.40%
beth rachel school-girls,Grade 3 ELA,247,0.00%
